,date,price,bedrooms,bathrooms,sqft_living,floors,view,condition,yr_built,zipcode,lat,long,yr_bin,zip_bin,bed_cat,floor_cat,condition_cat,view_cat,baths
422,2014-12-19,538000.0,3,2.5,2250,2.0,0.0,3,1988,98056,47.5272,-122.169,80s,"(98053.0, 98058.0]",3,2.0,3,0.0,2-3
423,2015-01-07,380000.0,3,2.5,2280,2.0,0.0,4,1985,98058,47.4334,-122.161,80s,"(98053.0, 98058.0]",3,2.0,4,0.0,2-3
424,2014-07-17,375000.0,2,1.0,940,1.0,0.0,3,1909,98122,47.6073,-122.30799999999999,pre-20s,"(98118.0, 98125.0]",2,1.0,3,0.0,0-1
425,2015-04-03,245000.0,3,2.5,1530,1.0,0.0,5,1996,98038,47.3592,-122.046,90s,"(98033.0, 98038.0]",3,1.0,5,0.0,2-3
427,2015-02-25,1300000.0,3,2.0,2350,1.0,0.0,4,1976,98004,47.6408,-122.219,70s,"(98000.999, 98004.0]",3,1.0,4,0.0,1-2
428,2014-05-06,397000.0,4,2.0,1440,1.0,0.0,3,1971,98034,47.7245,-122.2,70s,"(98033.0, 98038.0]",4,1.0,3,0.0,1-2
429,2015-05-12,365000.0,3,2.5,2200,2.0,0.0,3,2005,98058,47.4362,-122.178,00s,"(98053.0, 98058.0]",3,2.0,3,0.0,2-3
430,2014-10-28,328500.0,4,3.0,2290,2.0,0.0,3,1990,98042,47.3739,-122.156,80s,"(98038.0, 98042.0]",4,2.0,3,0.0,2-3
431,2014-09-08,988000.0,4,3.0,4040,2.0,0.0,3,1987,98052,47.7205,-122.12700000000001,80s,"(98042.0, 98053.0]",4,2.0,3,0.0,2-3
432,2014-07-22,1000000.0,4,2.5,2610,1.5,0.0,5,1922,98103,47.6636,-122.33,20s,"(98075.0, 98103.0]",4,1.5,5,0.0,2-3
433,2014-09-03,237000.0,3,2.5,1490,2.0,0.0,3,2005,98055,47.4324,-122.197,00s,"(98053.0, 98058.0]",3,2.0,3,0.0,2-3
434,2014-09-19,525000.0,4,2.5,2450,2.0,0.0,3,2003,98011,47.7734,-122.22399999999999,00s,"(98010.0, 98023.0]",4,2.0,3,0.0,2-3
435,2014-09-16,749000.0,4,2.5,1710,1.0,0.0,3,1976,98006,47.559,-122.164,70s,"(98004.0, 98010.0]",4,1.0,3,0.0,2-3
437,2015-03-12,843000.0,3,2.5,3130,2.0,0.0,3,1991,98052,47.6954,-122.103,90s,"(98042.0, 98053.0]",3,2.0,3,0.0,2-3
438,2014-07-08,438000.0,2,2.0,1270,3.0,0.0,3,2000,98115,47.6776,-122.318,90s,"(98107.0, 98115.0]",2,3.0,3,0.0,1-2
439,2014-09-16,578000.0,3,1.75,2120,1.0,2.0,3,1977,98146,47.504,-122.382,70s,"(98133.0, 98155.0]",3,1.0,3,2.0,1-2
440,2014-09-23,227950.0,3,1.5,1670,1.0,0.0,5,1954,98001,47.2613,-122.255,50s,"(98000.999, 98004.0]",3,1.0,5,0.0,1-2
441,2014-07-22,196000.0,3,2.25,2070,2.0,0.0,3,1974,98001,47.3417,-122.271,70s,"(98000.999, 98004.0]",3,2.0,3,0.0,2-3
442,2014-07-15,641000.0,2,1.0,1420,1.0,0.0,3,1953,98105,47.6694,-122.275,50s,"(98103.0, 98107.0]",2,1.0,3,0.0,0-1
443,2015-04-22,350000.0,3,1.5,1250,1.0,0.0,4,1980,98038,47.4056,-121.955,70s,"(98033.0, 98038.0]",3,1.0,4,0.0,1-2
444,2014-08-19,205000.0,3,1.0,940,1.0,0.0,4,1960,98032,47.3838,-122.289,50s,"(98029.0, 98033.0]",3,1.0,4,0.0,0-1
445,2014-12-02,400000.0,3,1.75,1920,1.0,0.0,3,1968,98072,47.7487,-122.08200000000001,60s,"(98070.0, 98075.0]",3,1.0,3,0.0,1-2
446,2014-11-10,1030000.0,3,2.5,3545,1.0,0.0,3,2005,98027,47.5534,-122.07799999999999,00s,"(98023.0, 98029.0]",3,1.0,3,0.0,2-3
447,2015-03-19,505000.0,3,2.0,1260,1.0,0.0,3,1972,98034,47.7355,-122.18,70s,"(98033.0, 98038.0]",3,1.0,3,0.0,1-2
449,2014-11-05,520000.0,3,2.25,2590,1.0,0.0,5,1977,98028,47.7691,-122.262,70s,"(98023.0, 98029.0]",3,1.0,5,0.0,2-3
450,2015-05-02,1450000.0,3,4.5,3970,2.0,2.0,3,1977,98034,47.7183,-122.258,70s,"(98033.0, 98038.0]",3,2.0,3,2.0,4-5
451,2014-12-31,333500.0,3,1.75,1220,1.0,0.0,3,1965,98011,47.7736,-122.214,60s,"(98010.0, 98023.0]",3,1.0,3,0.0,1-2
452,2015-02-22,232000.0,3,1.0,1400,1.0,0.0,4,1976,98038,47.361999999999995,-122.029,70s,"(98033.0, 98038.0]",3,1.0,4,0.0,0-1
453,2015-04-21,691100.0,3,2.75,2360,1.0,0.0,4,1983,98006,47.5698,-122.12100000000001,80s,"(98004.0, 98010.0]",3,1.0,4,0.0,2-3
454,2014-10-14,811000.0,3,1.75,1870,1.0,0.0,4,1960,98040,47.5505,-122.221,50s,"(98038.0, 98042.0]",3,1.0,4,0.0,1-2
455,2014-05-20,551000.0,3,2.5,2830,2.0,0.0,3,2001,98028,47.7605,-122.234,00s,"(98023.0, 98029.0]",3,2.0,3,0.0,2-3
456,2015-01-08,496500.0,3,2.5,2260,2.0,0.0,3,1994,98072,47.7356,-122.15700000000001,90s,"(98070.0, 98075.0]",3,2.0,3,0.0,2-3
457,2014-11-26,705000.0,3,3.0,1970,2.0,3.0,4,1980,98070,47.3844,-122.43799999999999,70s,"(98058.0, 98070.0]",3,2.0,4,3.0,2-3
458,2014-06-12,578000.0,4,2.5,3140,1.0,2.0,5,1966,98055,47.4904,-122.226,60s,"(98053.0, 98058.0]",4,1.0,5,2.0,2-3
459,2015-01-28,255000.0,3,1.75,1240,1.0,0.0,5,1986,98042,47.3663,-122.089,80s,"(98038.0, 98042.0]",3,1.0,5,0.0,1-2
460,2014-06-26,1050000.0,4,3.5,3450,2.0,0.0,3,2007,98006,47.5637,-122.12299999999999,00s,"(98004.0, 98010.0]",4,2.0,3,0.0,3-4
461,2015-03-05,348000.0,3,2.25,2570,2.0,0.0,4,1989,98042,47.3759,-122.125,80s,"(98038.0, 98042.0]",3,2.0,4,0.0,2-3
462,2014-11-04,230000.0,3,2.0,1510,2.0,0.0,3,1985,98031,47.3912,-122.167,80s,"(98029.0, 98033.0]",3,2.0,3,0.0,1-2
463,2014-12-09,359500.0,4,2.25,2390,2.0,0.0,3,1988,98023,47.3305,-122.37100000000001,80s,"(98010.0, 98023.0]",4,2.0,3,0.0,2-3
464,2014-11-12,330000.0,3,1.0,980,1.0,0.0,3,1953,98133,47.7617,-122.35700000000001,50s,"(98125.0, 98133.0]",3,1.0,3,0.0,0-1
465,2014-05-23,80000.0,1,0.75,430,1.0,0.0,2,1912,98014,47.6499,-121.90899999999999,pre-20s,"(98010.0, 98023.0]",1,1.0,2,0.0,0-1
466,2014-12-01,465000.0,3,1.75,1480,1.0,0.0,3,1954,98133,47.7311,-122.353,50s,"(98125.0, 98133.0]",3,1.0,3,0.0,1-2
467,2014-10-15,325000.0,4,2.5,1850,2.0,0.0,3,1997,98042,47.3701,-122.10700000000001,90s,"(98038.0, 98042.0]",4,2.0,3,0.0,2-3
468,2015-01-07,340500.0,3,2.0,2270,1.0,0.0,4,1947,98168,47.4857,-122.318,40s,"(98155.0, 98177.0]",3,1.0,4,0.0,1-2
469,2015-01-06,342500.0,3,2.5,1810,2.0,0.0,3,1993,98038,47.3724,-122.042,90s,"(98033.0, 98038.0]",3,2.0,3,0.0,2-3
470,2014-06-23,290900.0,2,2.0,1610,2.0,0.0,3,1930,98178,47.4855,-122.266,20s,"(98177.0, 98199.0]",2,2.0,3,0.0,1-2
471,2015-02-13,868700.0,3,4.25,3840,2.0,0.0,3,2000,98074,47.6336,-122.064,90s,"(98070.0, 98075.0]",3,2.0,3,0.0,4-5
472,2014-11-13,1200000.0,4,2.75,4110,2.0,1.0,3,1928,98125,47.717,-122.281,20s,"(98118.0, 98125.0]",4,2.0,3,1.0,2-3
473,2014-10-14,1150000.0,4,3.25,4190,2.0,0.0,3,2000,98074,47.6332,-122.066,90s,"(98070.0, 98075.0]",4,2.0,3,0.0,3-4
474,2014-08-11,859900.0,4,2.75,3390,2.0,0.0,3,2011,98074,47.5906,-122.06200000000001,10s,"(98070.0, 98075.0]",4,2.0,3,0.0,2-3
475,2014-08-08,520000.0,4,2.25,1890,2.0,0.0,3,2003,98029,47.5461,-121.99799999999999,00s,"(98023.0, 98029.0]",4,2.0,3,0.0,2-3
476,2014-07-11,460000.0,3,2.5,1610,2.0,2.0,3,2005,98118,47.5674,-122.29,00s,"(98115.0, 98118.0]",3,2.0,3,2.0,2-3
477,2014-09-01,438924.0,3,1.5,1050,1.0,0.0,3,1949,98115,47.6943,-122.29,40s,"(98107.0, 98115.0]",3,1.0,3,0.0,1-2
478,2015-04-06,315000.0,2,1.0,630,1.0,0.0,3,1918,98126,47.5486,-122.38,pre-20s,"(98125.0, 98133.0]",2,1.0,3,0.0,0-1
479,2014-07-18,590000.0,4,2.75,2910,1.0,2.0,3,1975,98033,47.6658,-122.18799999999999,70s,"(98029.0, 98033.0]",4,1.0,3,2.0,2-3
480,2014-11-04,378500.0,4,1.75,1700,1.0,0.0,3,1955,98006,47.5772,-122.15299999999999,50s,"(98004.0, 98010.0]",4,1.0,3,0.0,1-2
481,2014-06-03,328500.0,3,2.5,1950,2.0,0.0,4,1990,98042,47.3875,-122.161,80s,"(98038.0, 98042.0]",3,2.0,4,0.0,2-3
482,2015-03-25,849950.0,3,3.0,2990,2.0,0.0,4,1973,98005,47.6344,-122.17399999999999,70s,"(98004.0, 98010.0]",3,2.0,4,0.0,2-3
483,2014-10-27,525000.0,3,1.5,1350,1.0,2.0,3,1950,98136,47.5275,-122.391,40s,"(98133.0, 98155.0]",3,1.0,3,2.0,1-2
484,2015-04-10,1390000.0,4,3.25,4860,2.5,0.0,3,1993,98074,47.6179,-122.005,90s,"(98070.0, 98075.0]",4,2.5,3,0.0,3-4
485,2015-04-28,295000.0,4,2.5,2160,1.0,0.0,4,1978,98023,47.3078,-122.37799999999999,70s,"(98010.0, 98023.0]",4,1.0,4,0.0,2-3
488,2014-12-16,699900.0,4,2.75,2810,2.0,0.0,3,2002,98075,47.5985,-121.977,00s,"(98070.0, 98075.0]",4,2.0,3,0.0,2-3
490,2014-11-20,452000.0,4,1.5,1580,1.0,0.0,4,1963,98052,47.6734,-122.154,60s,"(98042.0, 98053.0]",4,1.0,4,0.0,1-2
491,2015-02-05,370000.0,3,2.0,1680,1.0,1.0,4,1987,98055,47.4734,-122.186,80s,"(98053.0, 98058.0]",3,1.0,4,1.0,1-2
492,2015-01-27,232000.0,3,1.75,1300,1.0,0.0,5,1968,98042,47.3811,-122.087,60s,"(98038.0, 98042.0]",3,1.0,5,0.0,1-2
494,2014-06-14,397500.0,3,2.0,1510,1.0,0.0,3,1972,98034,47.7193,-122.21600000000001,70s,"(98033.0, 98038.0]",3,1.0,3,0.0,1-2
495,2014-05-12,490000.0,2,2.5,1230,2.0,0.0,3,2004,98112,47.6192,-122.301,00s,"(98107.0, 98115.0]",2,2.0,3,0.0,2-3
496,2015-01-28,725000.0,4,2.0,2110,2.0,0.0,3,1925,98116,47.5836,-122.387,20s,"(98115.0, 98118.0]",4,2.0,3,0.0,1-2
497,2014-09-17,299000.0,3,2.75,3080,1.0,2.0,4,1958,98032,47.3841,-122.28399999999999,50s,"(98029.0, 98033.0]",3,1.0,4,2.0,2-3
498,2014-08-18,625000.0,2,1.5,1490,1.5,0.0,4,1900,98116,47.5872,-122.39,pre-20s,"(98115.0, 98118.0]",2,1.5,4,0.0,1-2
499,2014-11-06,437500.0,3,2.5,2120,2.0,0.0,3,2000,98065,47.5322,-121.88,90s,"(98058.0, 98070.0]",3,2.0,3,0.0,2-3
500,2015-05-10,650000.0,4,2.5,3180,2.0,0.0,3,2003,98065,47.5416,-121.86399999999999,00s,"(98058.0, 98070.0]",4,2.0,3,0.0,2-3
501,2014-05-19,475000.0,2,1.0,1490,1.0,0.0,3,1929,98117,47.6799,-122.381,20s,"(98115.0, 98118.0]",2,1.0,3,0.0,0-1
502,2014-05-02,342000.0,3,2.0,1930,1.0,0.0,4,1966,98042,47.3672,-122.15100000000001,60s,"(98038.0, 98042.0]",3,1.0,4,0.0,1-2
503,2014-10-15,1200000.0,4,2.5,2770,2.0,0.0,3,1999,98033,47.684,-122.205,90s,"(98029.0, 98033.0]",4,2.0,3,0.0,2-3
504,2015-02-10,280000.0,3,1.5,1670,1.0,0.0,4,1963,98055,47.4404,-122.191,60s,"(98053.0, 98058.0]",3,1.0,4,0.0,1-2
505,2014-05-21,240000.0,2,1.75,1330,1.0,0.0,3,1993,98188,47.4467,-122.281,90s,"(98177.0, 98199.0]",2,1.0,3,0.0,1-2
506,2014-05-27,529000.0,3,1.0,1210,1.5,0.0,4,1924,98107,47.6729,-122.363,20s,"(98103.0, 98107.0]",3,1.5,4,0.0,0-1
507,2015-02-02,442000.0,3,1.0,1190,1.0,0.0,4,1941,98136,47.5346,-122.385,40s,"(98133.0, 98155.0]",3,1.0,4,0.0,0-1
508,2014-05-08,615000.0,2,1.0,1540,1.0,0.0,4,1946,98119,47.6454,-122.37299999999999,40s,"(98118.0, 98125.0]",2,1.0,4,0.0,0-1
509,2014-06-12,1490000.0,4,3.75,4030,2.0,0.0,3,2006,98033,47.6821,-122.196,00s,"(98029.0, 98033.0]",4,2.0,3,0.0,3-4
510,2015-05-05,585000.0,4,1.75,2430,1.0,0.0,4,1981,98052,47.7206,-122.11,80s,"(98042.0, 98053.0]",4,1.0,4,0.0,1-2
511,2015-03-05,480000.0,4,2.5,2600,2.0,0.0,3,2005,98059,47.4877,-122.139,00s,"(98058.0, 98070.0]",4,2.0,3,0.0,2-3
513,2014-11-05,290000.0,4,1.0,1330,1.5,0.0,3,1949,98133,47.7343,-122.34700000000001,40s,"(98125.0, 98133.0]",4,1.5,3,0.0,0-1
514,2014-08-20,615000.0,3,1.75,1900,1.0,0.0,5,1951,98116,47.5789,-122.39299999999999,50s,"(98115.0, 98118.0]",3,1.0,5,0.0,1-2
515,2015-03-11,300000.0,2,1.0,1100,1.0,0.0,4,1950,98133,47.7439,-122.339,40s,"(98125.0, 98133.0]",2,1.0,4,0.0,0-1
516,2014-10-29,308000.0,3,1.0,1980,1.5,0.0,3,1932,98030,47.3818,-122.225,30s,"(98029.0, 98033.0]",3,1.5,3,0.0,0-1
517,2015-05-07,750000.0,3,2.5,2400,2.0,0.0,3,2001,98033,47.6734,-122.17299999999999,00s,"(98029.0, 98033.0]",3,2.0,3,0.0,2-3
518,2014-11-14,2250000.0,4,2.25,4760,2.5,0.0,5,1916,98112,47.6415,-122.285,pre-20s,"(98107.0, 98115.0]",4,2.5,5,0.0,2-3
519,2014-08-05,890000.0,4,3.25,3180,2.0,0.0,3,2005,98059,47.4711,-122.084,00s,"(98058.0, 98070.0]",4,2.0,3,0.0,3-4
520,2015-03-25,288000.0,3,1.0,1190,1.0,0.0,5,1958,98058,47.452,-122.177,50s,"(98053.0, 98058.0]",3,1.0,5,0.0,0-1
521,2014-09-06,190000.0,2,1.0,630,1.0,0.0,3,1943,98178,47.4973,-122.221,40s,"(98177.0, 98199.0]",2,1.0,3,0.0,0-1
523,2014-11-05,235000.0,4,1.5,1690,1.0,0.0,4,1930,98055,47.4667,-122.215,20s,"(98053.0, 98058.0]",4,1.0,4,0.0,1-2
524,2014-08-18,275000.0,2,1.0,940,1.0,0.0,3,1951,98126,47.5186,-122.374,50s,"(98125.0, 98133.0]",2,1.0,3,0.0,0-1
525,2014-11-21,727500.0,2,2.0,1240,1.0,0.0,4,1952,98004,47.6221,-122.193,50s,"(98000.999, 98004.0]",2,1.0,4,0.0,1-2
526,2014-06-20,650000.0,4,2.5,3040,2.0,0.0,3,2003,98053,47.683,-122.039,00s,"(98042.0, 98053.0]",4,2.0,3,0.0,2-3
528,2014-11-05,365000.0,4,1.0,1590,1.5,0.0,3,1944,98125,47.7315,-122.305,40s,"(98118.0, 98125.0]",4,1.5,3,0.0,0-1
529,2014-10-08,662000.0,3,1.75,2500,1.0,0.0,3,1984,98052,47.6917,-122.084,80s,"(98042.0, 98053.0]",3,1.0,3,0.0,1-2
530,2015-04-29,270500.0,3,2.5,1780,1.0,0.0,3,1978,98038,47.3608,-122.056,70s,"(98033.0, 98038.0]",3,1.0,3,0.0,2-3
531,2015-05-05,200000.0,2,1.5,1360,2.0,0.0,3,1978,98092,47.2852,-122.19,70s,"(98075.0, 98103.0]",2,2.0,3,0.0,1-2
532,2015-02-24,970000.0,4,3.25,4740,2.0,0.0,3,1987,98075,47.5931,-122.071,80s,"(98070.0, 98075.0]",4,2.0,3,0.0,3-4
533,2014-06-24,160000.0,3,1.5,1010,1.0,0.0,4,1962,98198,47.4097,-122.316,60s,"(98177.0, 98199.0]",3,1.0,4,0.0,1-2
534,2015-02-18,204000.0,3,1.0,1040,1.0,0.0,4,1971,98010,47.3105,-122.021,70s,"(98004.0, 98010.0]",3,1.0,4,0.0,0-1
535,2015-02-18,358000.0,3,2.25,1610,2.0,0.0,4,1985,98058,47.4296,-122.161,80s,"(98053.0, 98058.0]",3,2.0,4,0.0,2-3
536,2015-05-01,452000.0,4,1.75,1570,1.0,0.0,3,1979,98011,47.7373,-122.197,70s,"(98010.0, 98023.0]",4,1.0,3,0.0,1-2
537,2014-12-04,595000.0,2,2.0,1510,1.0,0.0,4,1900,98103,47.6582,-122.345,pre-20s,"(98075.0, 98103.0]",2,1.0,4,0.0,1-2
538,2015-04-10,249000.0,3,2.0,1360,1.0,0.0,3,1994,98042,47.3577,-122.16,90s,"(98038.0, 98042.0]",3,1.0,3,0.0,1-2
539,2015-03-10,346900.0,4,2.5,1970,2.0,0.0,3,1999,98055,47.449,-122.205,90s,"(98053.0, 98058.0]",4,2.0,3,0.0,2-3
540,2015-02-18,2130000.0,3,2.5,5403,2.0,4.0,4,1976,98166,47.4169,-122.348,70s,"(98155.0, 98177.0]",3,2.0,4,4.0,2-3
541,2014-10-30,280000.0,4,2.5,1560,2.0,0.0,3,2003,98056,47.5025,-122.186,00s,"(98053.0, 98058.0]",4,2.0,3,0.0,2-3
542,2014-10-13,318888.0,4,1.75,2320,1.0,0.0,4,1973,98032,47.3644,-122.28,70s,"(98029.0, 98033.0]",4,1.0,4,0.0,1-2
543,2014-09-11,530000.0,3,2.25,2120,1.0,0.0,3,1967,98075,47.5896,-122.009,60s,"(98070.0, 98075.0]",3,1.0,3,0.0,2-3
544,2014-11-21,375000.0,3,2.25,2120,2.0,0.0,4,1983,98031,47.3914,-122.169,80s,"(98029.0, 98033.0]",3,2.0,4,0.0,2-3
545,2015-04-22,910000.0,4,2.5,3350,2.0,0.0,3,1988,98052,47.7197,-122.131,80s,"(98042.0, 98053.0]",4,2.0,3,0.0,2-3
546,2014-05-23,782000.0,4,2.5,2380,2.0,0.0,4,1991,98006,47.5623,-122.116,90s,"(98004.0, 98010.0]",4,2.0,4,0.0,2-3
547,2015-03-19,259950.0,2,2.0,1070,2.0,0.0,3,2008,98106,47.5213,-122.35700000000001,00s,"(98103.0, 98107.0]",2,2.0,3,0.0,1-2
548,2014-09-23,315000.0,4,2.75,2300,1.0,0.0,4,1979,98058,47.4518,-122.16,70s,"(98053.0, 98058.0]",4,1.0,4,0.0,2-3
549,2014-05-28,215000.0,2,1.0,1320,1.0,0.0,4,1943,98168,47.4949,-122.3,40s,"(98155.0, 98177.0]",2,1.0,4,0.0,0-1
550,2014-07-23,705000.0,3,1.75,2180,1.0,2.0,4,1946,98040,47.5885,-122.24799999999999,40s,"(98038.0, 98042.0]",3,1.0,4,2.0,1-2
551,2014-10-13,1450000.0,3,3.0,4380,2.0,3.0,5,1952,98199,47.6452,-122.411,50s,"(98177.0, 98199.0]",3,2.0,5,3.0,2-3
552,2015-05-08,451000.0,3,1.75,1790,2.0,0.0,3,1949,98155,47.748999999999995,-122.305,40s,"(98133.0, 98155.0]",3,2.0,3,0.0,1-2
553,2014-09-02,261000.0,2,1.0,750,1.0,0.0,4,1943,98055,47.4727,-122.198,40s,"(98053.0, 98058.0]",2,1.0,4,0.0,0-1
554,2014-11-17,396000.0,3,1.5,1300,1.0,0.0,5,1956,98028,47.7403,-122.256,50s,"(98023.0, 98029.0]",3,1.0,5,0.0,1-2
555,2014-07-22,725000.0,4,2.5,2990,2.0,3.0,3,1999,98059,47.5146,-122.117,90s,"(98058.0, 98070.0]",4,2.0,3,3.0,2-3
557,2014-07-15,238000.0,4,1.0,1400,1.5,0.0,3,1959,98188,47.4339,-122.291,50s,"(98177.0, 98199.0]",4,1.5,3,0.0,0-1
559,2014-10-27,331500.0,4,2.5,2050,2.0,0.0,3,1998,98042,47.3628,-122.075,90s,"(98038.0, 98042.0]",4,2.0,3,0.0,2-3
560,2014-10-28,460000.0,4,3.0,2230,1.0,0.0,3,1978,98065,47.52,-121.845,70s,"(98058.0, 98070.0]",4,1.0,3,0.0,2-3
561,2014-07-07,404950.0,4,2.25,2340,1.0,0.0,4,1982,98092,47.2953,-122.083,80s,"(98075.0, 98103.0]",4,1.0,4,0.0,2-3
562,2014-12-17,880000.0,3,2.5,2870,2.0,0.0,3,2014,98103,47.6935,-122.352,10s,"(98075.0, 98103.0]",3,2.0,3,0.0,2-3
563,2014-06-13,863000.0,4,2.5,4120,2.0,0.0,3,1997,98074,47.6239,-122.023,90s,"(98070.0, 98075.0]",4,2.0,3,0.0,2-3
564,2014-12-16,638700.0,3,1.75,2080,1.0,0.0,3,1960,98005,47.5846,-122.16799999999999,50s,"(98004.0, 98010.0]",3,1.0,3,0.0,1-2
565,2014-07-28,435000.0,3,2.5,1840,2.0,0.0,3,2008,98053,47.6969,-122.02600000000001,00s,"(98042.0, 98053.0]",3,2.0,3,0.0,2-3
566,2014-12-31,260000.0,3,1.0,1180,1.5,0.0,4,1959,98178,47.505,-122.259,50s,"(98177.0, 98199.0]",3,1.5,4,0.0,0-1
568,2014-10-22,610000.0,3,1.0,1180,1.5,0.0,3,1907,98109,47.6376,-122.353,pre-20s,"(98107.0, 98115.0]",3,1.5,3,0.0,0-1
569,2014-12-18,405000.0,2,0.75,1160,1.0,0.0,4,1937,98014,47.6929,-121.87,30s,"(98010.0, 98023.0]",2,1.0,4,0.0,0-1
570,2014-07-18,338900.0,4,2.5,1830,2.0,0.0,3,2003,98038,47.3572,-122.015,00s,"(98033.0, 98038.0]",4,2.0,3,0.0,2-3
571,2015-01-23,720000.0,4,4.0,3200,2.0,0.0,3,2004,98075,47.5816,-121.97,00s,"(98070.0, 98075.0]",4,2.0,3,0.0,3-4
574,2015-01-02,263500.0,3,1.75,1330,1.0,0.0,3,1981,98058,47.4478,-122.161,80s,"(98053.0, 98058.0]",3,1.0,3,0.0,1-2
575,2014-12-17,300000.0,2,1.0,1220,1.0,0.0,4,1963,98038,47.4219,-122.007,60s,"(98033.0, 98038.0]",2,1.0,4,0.0,0-1
576,2014-12-09,266000.0,3,2.5,1805,2.0,0.0,3,2009,98002,47.3521,-122.212,00s,"(98000.999, 98004.0]",3,2.0,3,0.0,2-3
577,2014-12-11,930000.0,4,4.0,6050,2.5,2.0,3,2009,98077,47.7466,-122.029,00s,"(98075.0, 98103.0]",4,2.5,3,2.0,3-4
578,2015-01-27,530000.0,4,2.5,2320,2.0,0.0,3,2004,98028,47.7727,-122.229,00s,"(98023.0, 98029.0]",4,2.0,3,0.0,2-3
579,2014-12-11,180000.0,3,1.0,1384,1.0,0.0,4,1965,98023,47.3062,-122.37100000000001,60s,"(98010.0, 98023.0]",3,1.0,4,0.0,0-1
580,2014-05-16,619000.0,3,2.5,2720,2.0,0.0,3,2005,98065,47.5422,-121.86,00s,"(98058.0, 98070.0]",3,2.0,3,0.0,2-3
581,2014-08-21,264000.0,3,1.5,1820,1.0,0.0,4,1962,98003,47.3366,-122.306,60s,"(98000.999, 98004.0]",3,1.0,4,0.0,1-2
582,2014-07-01,730000.0,2,2.25,2130,1.5,4.0,4,1941,98116,47.573,-122.40899999999999,40s,"(98115.0, 98118.0]",2,1.5,4,4.0,2-3
583,2014-10-22,439000.0,4,2.25,2060,2.0,0.0,3,1975,98034,47.7258,-122.177,70s,"(98033.0, 98038.0]",4,2.0,3,0.0,2-3
584,2014-11-17,268500.0,4,1.75,1420,1.0,0.0,4,1981,98031,47.4025,-122.176,80s,"(98029.0, 98033.0]",4,1.0,4,0.0,1-2
585,2014-07-15,330000.0,3,1.75,1510,1.0,0.0,3,1985,98045,47.476000000000006,-121.755,80s,"(98042.0, 98053.0]",3,1.0,3,0.0,1-2
586,2014-08-19,640000.0,3,2.5,2160,1.5,0.0,3,1903,98122,47.6045,-122.307,pre-20s,"(98118.0, 98125.0]",3,1.5,3,0.0,2-3
587,2014-07-08,900000.0,3,2.5,3180,2.0,0.0,4,1978,98074,47.6366,-122.05799999999999,70s,"(98070.0, 98075.0]",3,2.0,4,0.0,2-3
588,2014-09-30,370000.0,3,2.25,2110,2.0,0.0,4,1985,98038,47.3725,-122.06,80s,"(98033.0, 98038.0]",3,2.0,4,0.0,2-3
589,2015-03-14,685000.0,3,2.0,2060,1.5,0.0,5,1931,98144,47.5897,-122.292,30s,"(98133.0, 98155.0]",3,1.5,5,0.0,1-2
591,2014-10-21,265000.0,3,1.75,1820,1.0,0.0,4,1966,98022,47.1803,-121.97399999999999,60s,"(98010.0, 98023.0]",3,1.0,4,0.0,1-2
592,2015-03-24,290000.0,3,2.5,1610,2.0,0.0,3,2006,98055,47.4489,-122.18799999999999,00s,"(98053.0, 98058.0]",3,2.0,3,0.0,2-3
593,2014-09-02,296000.0,4,2.5,1780,2.0,0.0,3,2006,98038,47.3665,-122.01700000000001,00s,"(98033.0, 98038.0]",4,2.0,3,0.0,2-3
594,2015-02-13,360000.0,4,2.5,1840,2.0,0.0,3,1996,98178,47.4964,-122.251,90s,"(98177.0, 98199.0]",4,2.0,3,0.0,2-3
595,2014-06-04,240500.0,3,1.75,1460,1.0,0.0,3,1997,98168,47.492,-122.31700000000001,90s,"(98155.0, 98177.0]",3,1.0,3,0.0,1-2
596,2014-07-22,372500.0,2,2.5,1400,2.0,0.0,3,2007,98126,47.5496,-122.37299999999999,00s,"(98125.0, 98133.0]",2,2.0,3,0.0,2-3
597,2014-10-02,595000.0,3,2.5,3370,2.0,2.0,3,2004,98045,47.5008,-121.77600000000001,00s,"(98042.0, 98053.0]",3,2.0,3,2.0,2-3
598,2014-10-17,515000.0,4,3.0,3590,2.0,0.0,3,1997,98023,47.2846,-122.34100000000001,90s,"(98010.0, 98023.0]",4,2.0,3,0.0,2-3
599,2014-08-05,1220000.0,4,2.25,3200,2.0,0.0,4,1962,98040,47.5494,-122.21600000000001,60s,"(98038.0, 98042.0]",4,2.0,4,0.0,2-3
600,2014-10-09,507000.0,2,1.75,1670,1.0,0.0,3,2004,98053,47.7123,-122.027,00s,"(98042.0, 98053.0]",2,1.0,3,0.0,1-2
601,2015-02-04,399950.0,4,2.0,2420,1.0,0.0,3,1984,98092,47.3131,-122.115,80s,"(98075.0, 98103.0]",4,1.0,3,0.0,1-2
602,2014-08-20,185000.0,3,1.75,1430,2.0,0.0,3,1994,98010,47.3122,-121.99600000000001,90s,"(98004.0, 98010.0]",3,2.0,3,0.0,1-2
603,2014-08-25,460000.0,3,1.75,1440,1.0,0.0,3,1980,98052,47.6947,-122.125,70s,"(98042.0, 98053.0]",3,1.0,3,0.0,1-2
604,2015-02-24,435500.0,3,2.25,1450,2.0,0.0,3,1985,98029,47.5665,-122.01799999999999,80s,"(98023.0, 98029.0]",3,2.0,3,0.0,2-3
