,price,sqft_living,bedrooms,bathrooms,floors,condition,view,yr_built,zipcode,yr_bin,zip_bin,baths,bed_cat,floor_cat,condition_cat,view_cat,lat,long,$/sqft,bath/bed,bath/sqft,bed/sqft
1311,255000.0,1180,3,1.0,1.0,4,0.0,1967,98058,60s,"(98053.0, 98058.0]",0-1,3,1.0,4,0.0,47.4551,-122.154,216.10169491525423,0.3333333333333333,0.000847457627118644,0.002542372881355932
1312,530000.0,2950,4,2.5,2.0,3,0.0,2006,98059,00s,"(98058.0, 98070.0]",2-3,4,2.0,3,0.0,47.479,-122.12899999999999,179.66101694915255,0.625,0.000847457627118644,0.0013559322033898306
1314,595000.0,2150,3,2.75,2.0,3,0.0,1996,98014,90s,"(98010.0, 98023.0]",2-3,3,2.0,3,0.0,47.6596,-121.96,276.74418604651163,0.9166666666666666,0.0012790697674418604,0.0013953488372093023
1315,548000.0,2100,4,2.0,1.0,4,0.0,1958,98008,50s,"(98004.0, 98010.0]",1-2,4,1.0,4,0.0,47.6115,-122.124,260.95238095238096,0.5,0.0009523809523809524,0.0019047619047619048
1316,234975.0,1650,3,1.75,1.0,3,0.0,1980,98092,70s,"(98075.0, 98103.0]",1-2,3,1.0,3,0.0,47.3187,-122.182,142.4090909090909,0.5833333333333334,0.0010606060606060607,0.0018181818181818182
1317,600000.0,1620,3,1.75,2.5,3,0.0,2005,98102,00s,"(98075.0, 98103.0]",1-2,3,2.5,3,0.0,47.6498,-122.321,370.3703703703704,0.5833333333333334,0.0010802469135802468,0.001851851851851852
1318,432000.0,1750,4,1.0,1.0,4,0.0,1967,98072,60s,"(98070.0, 98075.0]",0-1,4,1.0,4,0.0,47.743,-122.09700000000001,246.85714285714286,0.25,0.0005714285714285715,0.002285714285714286
1319,455000.0,1380,3,1.5,2.0,3,0.0,1986,98034,80s,"(98033.0, 98038.0]",1-2,3,2.0,3,0.0,47.7085,-122.21700000000001,329.71014492753625,0.5,0.0010869565217391304,0.002173913043478261
1320,279950.0,1510,3,1.75,1.0,3,0.0,1965,98155,60s,"(98133.0, 98155.0]",1-2,3,1.0,3,0.0,47.7571,-122.32799999999999,185.39735099337747,0.5833333333333334,0.0011589403973509935,0.001986754966887417
1321,267500.0,1600,3,1.5,1.0,4,0.0,1963,98030,60s,"(98029.0, 98033.0]",1-2,3,1.0,4,0.0,47.3737,-122.21600000000001,167.1875,0.5,0.0009375,0.001875
1322,620000.0,1840,4,2.5,2.0,3,0.0,2000,98038,90s,"(98033.0, 98038.0]",2-3,4,2.0,3,0.0,47.4306,-122.04899999999999,336.95652173913044,0.625,0.001358695652173913,0.002173913043478261
1323,110000.0,830,2,1.0,1.0,2,0.0,1943,98166,40s,"(98155.0, 98177.0]",0-1,2,1.0,2,0.0,47.4784,-122.335,132.53012048192772,0.5,0.0012048192771084338,0.0024096385542168677
1324,625000.0,1810,3,3.5,2.0,4,0.0,2009,98122,00s,"(98118.0, 98125.0]",3-4,3,2.0,4,0.0,47.607,-122.305,345.30386740331494,1.1666666666666667,0.0019337016574585636,0.0016574585635359116
1325,389000.0,910,2,1.0,1.0,3,0.0,1952,98115,50s,"(98107.0, 98115.0]",0-1,2,1.0,3,0.0,47.6999,-122.305,427.4725274725275,0.5,0.001098901098901099,0.002197802197802198
1326,1200000.0,2120,4,2.0,2.0,3,0.0,1905,98112,pre-20s,"(98107.0, 98115.0]",1-2,4,2.0,3,0.0,47.6227,-122.31,566.0377358490566,0.5,0.0009433962264150943,0.0018867924528301887
1327,788500.0,2510,4,2.25,2.0,4,0.0,1977,98027,70s,"(98023.0, 98029.0]",2-3,4,2.0,4,0.0,47.4569,-122.02,314.1434262948207,0.5625,0.0008964143426294821,0.0015936254980079682
1329,515000.0,2690,2,2.25,1.0,3,2.0,1987,98023,80s,"(98010.0, 98023.0]",2-3,2,1.0,3,2.0,47.3361,-122.353,191.44981412639405,1.125,0.0008364312267657993,0.0007434944237918215
1330,605000.0,2430,4,2.5,1.0,5,0.0,1968,98155,60s,"(98133.0, 98155.0]",2-3,4,1.0,5,0.0,47.7761,-122.285,248.97119341563786,0.625,0.00102880658436214,0.0016460905349794238
1331,430000.0,2452,4,3.75,2.0,3,0.0,1936,98055,30s,"(98053.0, 98058.0]",3-4,4,2.0,3,0.0,47.4744,-122.213,175.36704730831974,0.9375,0.0015293637846655792,0.0016313213703099511
1332,805000.0,1550,2,1.75,1.0,3,1.0,1920,98199,pre-20s,"(98177.0, 98199.0]",1-2,2,1.0,3,1.0,47.6712,-122.40899999999999,519.3548387096774,0.875,0.0011290322580645162,0.0012903225806451613
1333,567500.0,2080,3,2.5,2.0,3,0.0,1999,98074,90s,"(98070.0, 98075.0]",2-3,3,2.0,3,0.0,47.6036,-122.014,272.83653846153845,0.8333333333333334,0.001201923076923077,0.0014423076923076924
1334,647500.0,1290,3,1.75,1.0,5,0.0,1916,98144,pre-20s,"(98133.0, 98155.0]",1-2,3,1.0,5,0.0,47.5873,-122.29,501.93798449612405,0.5833333333333334,0.0013565891472868217,0.002325581395348837
1335,495000.0,1850,2,1.75,2.5,4,0.0,1903,98122,pre-20s,"(98118.0, 98125.0]",1-2,2,2.5,4,0.0,47.6106,-122.31,267.56756756756755,0.875,0.0009459459459459459,0.001081081081081081
1336,825000.0,3370,4,2.5,2.0,3,0.0,2006,98027,00s,"(98023.0, 98029.0]",2-3,4,2.0,3,0.0,47.541000000000004,-121.99799999999999,244.80712166172106,0.625,0.000741839762611276,0.0011869436201780415
1337,435000.0,2730,4,2.25,2.0,4,0.0,1987,98058,80s,"(98053.0, 98058.0]",2-3,4,2.0,4,0.0,47.4627,-122.152,159.34065934065933,0.5625,0.0008241758241758242,0.0014652014652014652
1338,445950.0,1300,3,1.75,1.0,5,0.0,1968,98034,60s,"(98033.0, 98038.0]",1-2,3,1.0,5,0.0,47.7321,-122.195,343.03846153846155,0.5833333333333334,0.001346153846153846,0.002307692307692308
1340,780000.0,2440,4,3.0,1.5,5,0.0,1929,98103,20s,"(98075.0, 98103.0]",2-3,4,1.5,5,0.0,47.6853,-122.331,319.672131147541,0.75,0.0012295081967213116,0.001639344262295082
1341,274500.0,1720,3,2.25,1.0,4,0.0,1969,98023,60s,"(98010.0, 98023.0]",2-3,3,1.0,4,0.0,47.3191,-122.383,159.59302325581396,0.75,0.001308139534883721,0.0017441860465116279
1343,464950.0,1200,3,1.5,2.0,3,0.0,2008,98109,00s,"(98107.0, 98115.0]",1-2,3,2.0,3,0.0,47.6384,-122.34200000000001,387.4583333333333,0.5,0.00125,0.0025
1344,620000.0,2350,4,1.75,1.0,3,2.0,1959,98005,50s,"(98004.0, 98010.0]",1-2,4,1.0,3,2.0,47.5904,-122.177,263.82978723404256,0.4375,0.0007446808510638298,0.001702127659574468
1345,735000.0,3100,4,3.5,2.0,3,0.0,2005,98075,00s,"(98070.0, 98075.0]",3-4,4,2.0,3,0.0,47.5968,-121.978,237.09677419354838,0.875,0.0011290322580645162,0.0012903225806451613
1346,450000.0,2040,4,2.25,1.0,3,0.0,1959,98133,50s,"(98125.0, 98133.0]",2-3,4,1.0,3,0.0,47.7356,-122.335,220.58823529411765,0.5625,0.0011029411764705882,0.00196078431372549
1347,450000.0,2000,4,1.0,1.5,3,0.0,1916,98118,pre-20s,"(98115.0, 98118.0]",0-1,4,1.5,3,0.0,47.5529,-122.26799999999999,225.0,0.25,0.0005,0.002
1348,842500.0,2160,4,2.5,2.5,4,0.0,1902,98122,pre-20s,"(98118.0, 98125.0]",2-3,4,2.5,4,0.0,47.6106,-122.31,390.0462962962963,0.625,0.0011574074074074073,0.001851851851851852
1349,360000.0,1970,3,2.0,1.0,3,0.0,1979,98058,70s,"(98053.0, 98058.0]",1-2,3,1.0,3,0.0,47.4674,-122.10700000000001,182.74111675126903,0.6666666666666666,0.0010152284263959391,0.0015228426395939086
1350,585000.0,2270,3,2.5,2.0,3,0.0,1998,98070,90s,"(98058.0, 98070.0]",2-3,3,2.0,3,0.0,47.4815,-122.47,257.70925110132157,0.8333333333333334,0.0011013215859030838,0.0013215859030837004
1351,461000.0,1850,3,2.25,1.0,4,0.0,1977,98033,70s,"(98029.0, 98033.0]",2-3,3,1.0,4,0.0,47.7011,-122.171,249.1891891891892,0.75,0.0012162162162162162,0.0016216216216216215
1352,345000.0,1350,2,1.0,1.0,3,0.0,1949,98126,40s,"(98125.0, 98133.0]",0-1,2,1.0,3,0.0,47.5315,-122.38,255.55555555555554,0.5,0.0007407407407407407,0.0014814814814814814
1353,1080000.0,3280,3,2.5,1.0,3,0.0,1970,98115,60s,"(98107.0, 98115.0]",2-3,3,1.0,3,0.0,47.6948,-122.286,329.2682926829268,0.8333333333333334,0.0007621951219512195,0.0009146341463414635
1354,643000.0,2270,4,2.5,2.0,3,0.0,1988,98029,80s,"(98023.0, 98029.0]",2-3,4,2.0,3,0.0,47.574,-122.01299999999999,283.2599118942731,0.625,0.0011013215859030838,0.001762114537444934
1355,690000.0,2820,4,2.5,2.0,3,0.0,1990,98074,80s,"(98070.0, 98075.0]",2-3,4,2.0,3,0.0,47.6253,-122.027,244.68085106382978,0.625,0.0008865248226950354,0.0014184397163120568
1356,282000.0,1200,4,1.0,1.5,3,0.0,1949,98155,40s,"(98133.0, 98155.0]",0-1,4,1.5,3,0.0,47.7529,-122.306,235.0,0.25,0.0008333333333333334,0.0033333333333333335
1357,549000.0,2000,3,1.75,1.0,4,0.0,1951,98117,50s,"(98115.0, 98118.0]",1-2,3,1.0,4,0.0,47.6925,-122.38799999999999,274.5,0.5833333333333334,0.000875,0.0015
1358,815000.0,2310,3,2.0,2.0,4,1.0,1926,98199,20s,"(98177.0, 98199.0]",1-2,3,2.0,4,1.0,47.648,-122.395,352.8138528138528,0.6666666666666666,0.0008658008658008658,0.0012987012987012987
1360,700000.0,2330,3,2.25,2.0,4,0.0,1984,98052,80s,"(98042.0, 98053.0]",2-3,3,2.0,4,0.0,47.6386,-122.11,300.42918454935625,0.75,0.0009656652360515021,0.0012875536480686696
1361,933399.0,3940,3,2.5,2.0,3,0.0,1992,98052,90s,"(98042.0, 98053.0]",2-3,3,2.0,3,0.0,47.6468,-122.116,236.9032994923858,0.8333333333333334,0.0006345177664974619,0.0007614213197969543
1362,290000.0,1440,3,1.0,1.0,3,0.0,1967,98055,60s,"(98053.0, 98058.0]",0-1,3,1.0,3,0.0,47.4627,-122.213,201.38888888888889,0.3333333333333333,0.0006944444444444445,0.0020833333333333333
1363,372000.0,1960,4,1.75,1.0,5,0.0,1979,98045,70s,"(98042.0, 98053.0]",1-2,4,1.0,5,0.0,47.4487,-121.772,189.79591836734693,0.4375,0.0008928571428571428,0.0020408163265306124
1365,303700.0,1981,3,2.5,2.0,3,0.0,2010,98030,00s,"(98029.0, 98033.0]",2-3,3,2.0,3,0.0,47.3668,-122.178,153.30641090358404,0.8333333333333334,0.0012619888944977284,0.001514386673397274
1366,672000.0,2440,4,2.5,2.0,4,0.0,1989,98029,80s,"(98023.0, 98029.0]",2-3,4,2.0,4,0.0,47.5744,-121.993,275.40983606557376,0.625,0.0010245901639344263,0.001639344262295082
1367,334000.0,1150,4,1.5,1.5,3,0.0,1970,98034,60s,"(98033.0, 98038.0]",1-2,4,1.5,3,0.0,47.7197,-122.17299999999999,290.4347826086956,0.375,0.0013043478260869566,0.0034782608695652175
1368,260000.0,1120,2,1.0,1.0,3,0.0,1944,98178,40s,"(98177.0, 98199.0]",0-1,2,1.0,3,0.0,47.4979,-122.241,232.14285714285714,0.5,0.0008928571428571428,0.0017857142857142857
1369,749950.0,1800,3,1.75,1.0,4,0.0,1941,98119,40s,"(98118.0, 98125.0]",1-2,3,1.0,4,0.0,47.6491,-122.367,416.6388888888889,0.5833333333333334,0.0009722222222222222,0.0016666666666666668
1370,330000.0,2380,4,2.25,2.0,4,0.0,1984,98022,80s,"(98010.0, 98023.0]",2-3,4,2.0,4,0.0,47.2624,-122.015,138.65546218487395,0.5625,0.0009453781512605042,0.0016806722689075631
1372,1130000.0,2790,3,2.25,1.0,3,3.0,2006,98166,00s,"(98155.0, 98177.0]",2-3,3,1.0,3,3.0,47.4389,-122.351,405.0179211469534,0.75,0.0008064516129032258,0.001075268817204301
1373,320000.0,1560,3,1.0,1.0,4,0.0,1948,98155,40s,"(98133.0, 98155.0]",0-1,3,1.0,4,0.0,47.7552,-122.32700000000001,205.12820512820514,0.3333333333333333,0.000641025641025641,0.0019230769230769232
1374,260000.0,1550,2,1.0,1.5,5,0.0,1920,98038,pre-20s,"(98033.0, 98038.0]",0-1,2,1.5,5,0.0,47.407,-122.045,167.74193548387098,0.5,0.0006451612903225806,0.0012903225806451613
1375,225000.0,1700,3,2.0,1.0,5,0.0,1945,98146,40s,"(98133.0, 98155.0]",1-2,3,1.0,5,0.0,47.4851,-122.338,132.35294117647058,0.6666666666666666,0.001176470588235294,0.0017647058823529412
1376,279200.0,640,1,1.0,1.0,3,0.0,1939,98117,30s,"(98115.0, 98118.0]",0-1,1,1.0,3,0.0,47.6976,-122.359,436.25,1.0,0.0015625,0.0015625
1377,520000.0,2680,4,3.5,2.0,3,0.0,1942,98125,40s,"(98118.0, 98125.0]",3-4,4,2.0,3,0.0,47.726000000000006,-122.296,194.02985074626866,0.875,0.0013059701492537314,0.0014925373134328358
1378,505000.0,1860,3,2.5,2.0,4,0.0,1987,98029,80s,"(98023.0, 98029.0]",2-3,3,2.0,4,0.0,47.5674,-122.01700000000001,271.505376344086,0.8333333333333334,0.0013440860215053765,0.0016129032258064516
1379,234000.0,1490,3,1.75,1.0,4,0.0,1975,98042,70s,"(98038.0, 98042.0]",1-2,3,1.0,4,0.0,47.375,-122.14,157.04697986577182,0.5833333333333334,0.001174496644295302,0.0020134228187919465
1380,503000.0,2470,4,2.5,2.0,3,0.0,2005,98155,00s,"(98133.0, 98155.0]",2-3,4,2.0,3,0.0,47.7728,-122.271,203.6437246963563,0.625,0.0010121457489878543,0.0016194331983805667
1381,606000.0,2390,4,2.25,1.0,4,0.0,1979,98033,70s,"(98029.0, 98033.0]",2-3,4,1.0,4,0.0,47.6925,-122.184,253.55648535564853,0.5625,0.0009414225941422594,0.0016736401673640166
1382,433500.0,1230,3,1.0,1.0,4,0.0,1937,98115,30s,"(98107.0, 98115.0]",0-1,3,1.0,4,0.0,47.6839,-122.281,352.4390243902439,0.3333333333333333,0.0008130081300813008,0.0024390243902439024
1383,250000.0,2840,3,1.5,1.0,3,0.0,1951,98056,50s,"(98053.0, 98058.0]",1-2,3,1.0,3,0.0,47.523999999999994,-122.2,88.02816901408451,0.5,0.000528169014084507,0.001056338028169014
1384,719000.0,2120,3,2.5,2.0,4,0.0,1984,98006,80s,"(98004.0, 98010.0]",2-3,3,2.0,4,0.0,47.5477,-122.141,339.1509433962264,0.8333333333333334,0.0011792452830188679,0.0014150943396226414
1385,381000.0,1770,3,2.0,1.0,4,0.0,1959,98166,50s,"(98155.0, 98177.0]",1-2,3,1.0,4,0.0,47.415,-122.337,215.25423728813558,0.6666666666666666,0.0011299435028248588,0.001694915254237288
1386,267000.0,2495,3,2.5,2.0,3,0.0,2007,98001,00s,"(98000.999, 98004.0]",2-3,3,2.0,3,0.0,47.288000000000004,-122.28299999999999,107.01402805611222,0.8333333333333334,0.001002004008016032,0.0012024048096192384
1387,275000.0,1170,1,0.75,1.0,5,0.0,1962,98022,60s,"(98010.0, 98023.0]",0-1,1,1.0,5,0.0,47.2653,-121.91,235.04273504273505,0.75,0.000641025641025641,0.0008547008547008547
1388,651000.0,2740,4,2.5,2.0,3,0.0,1993,98074,90s,"(98070.0, 98075.0]",2-3,4,2.0,3,0.0,47.6334,-122.021,237.5912408759124,0.625,0.0009124087591240876,0.00145985401459854
1389,439000.0,1050,2,1.0,1.0,3,0.0,1949,98115,40s,"(98107.0, 98115.0]",0-1,2,1.0,3,0.0,47.6767,-122.286,418.0952380952381,0.5,0.0009523809523809524,0.0019047619047619048
1390,325000.0,1130,2,1.0,1.0,4,0.0,1955,98146,50s,"(98133.0, 98155.0]",0-1,2,1.0,4,0.0,47.5141,-122.37700000000001,287.6106194690266,0.5,0.0008849557522123894,0.0017699115044247787
1391,490000.0,880,2,1.0,1.0,3,0.0,1938,98115,30s,"(98107.0, 98115.0]",0-1,2,1.0,3,0.0,47.6924,-122.322,556.8181818181819,0.5,0.0011363636363636363,0.0022727272727272726
1392,519900.0,2403,4,2.5,2.0,3,0.0,1999,98028,90s,"(98023.0, 98029.0]",2-3,4,2.0,3,0.0,47.7361,-122.234,216.354556803995,0.625,0.0010403662089055348,0.0016645859342488557
1393,545000.0,3410,4,2.75,2.0,3,0.0,1984,98038,80s,"(98033.0, 98038.0]",2-3,4,2.0,3,0.0,47.4054,-122.03,159.8240469208211,0.6875,0.0008064516129032258,0.0011730205278592375
1394,1060000.0,5320,4,4.0,2.0,3,0.0,2003,98075,00s,"(98070.0, 98075.0]",3-4,4,2.0,3,0.0,47.5852,-121.96600000000001,199.24812030075188,1.0,0.0007518796992481203,0.0007518796992481203
1395,542000.0,1900,4,1.75,1.0,4,0.0,1955,98006,50s,"(98004.0, 98010.0]",1-2,4,1.0,4,0.0,47.5765,-122.147,285.2631578947368,0.4375,0.0009210526315789473,0.002105263157894737
1396,465000.0,1810,4,1.75,2.0,4,0.0,1961,98077,60s,"(98075.0, 98103.0]",1-2,4,2.0,4,0.0,47.7358,-122.07600000000001,256.9060773480663,0.4375,0.0009668508287292818,0.0022099447513812156
1397,408000.0,1200,2,2.0,1.0,3,0.0,2006,98053,00s,"(98042.0, 98053.0]",1-2,2,1.0,3,0.0,47.72,-122.024,340.0,1.0,0.0016666666666666668,0.0016666666666666668
1398,292000.0,2060,4,2.5,2.0,3,0.0,2000,98030,90s,"(98029.0, 98033.0]",2-3,4,2.0,3,0.0,47.3631,-122.19200000000001,141.74757281553397,0.625,0.0012135922330097086,0.001941747572815534
1399,253000.0,1250,3,1.75,1.0,3,0.0,1994,98010,90s,"(98004.0, 98010.0]",1-2,3,1.0,3,0.0,47.3277,-122.001,202.4,0.5833333333333334,0.0014,0.0024
1400,280000.0,910,2,1.0,1.0,5,0.0,1942,98106,40s,"(98103.0, 98107.0]",0-1,2,1.0,5,0.0,47.5232,-122.354,307.6923076923077,0.5,0.001098901098901099,0.002197802197802198
1401,658588.0,2560,3,2.25,2.0,3,0.0,1986,98027,80s,"(98023.0, 98029.0]",2-3,3,2.0,3,0.0,47.4871,-122.065,257.2609375,0.75,0.00087890625,0.001171875
1402,635000.0,1920,4,2.25,1.0,4,0.0,1969,98005,60s,"(98004.0, 98010.0]",2-3,4,1.0,4,0.0,47.5897,-122.156,330.7291666666667,0.5625,0.001171875,0.0020833333333333333
1403,439000.0,2240,4,2.25,2.0,3,0.0,1978,98011,70s,"(98010.0, 98023.0]",2-3,4,2.0,3,0.0,47.7746,-122.197,195.98214285714286,0.5625,0.0010044642857142856,0.0017857142857142857
1404,300000.0,1260,3,2.5,2.0,3,0.0,1999,98059,90s,"(98058.0, 98070.0]",2-3,3,2.0,3,0.0,47.4908,-122.154,238.0952380952381,0.8333333333333334,0.001984126984126984,0.002380952380952381
1405,345000.0,1360,3,1.5,1.0,4,0.0,1960,98198,50s,"(98177.0, 98199.0]",1-2,3,1.0,4,0.0,47.4032,-122.314,253.6764705882353,0.5,0.0011029411764705882,0.0022058823529411764
1406,283500.0,2100,4,2.25,2.0,3,0.0,1978,98055,70s,"(98053.0, 98058.0]",2-3,4,2.0,3,0.0,47.4391,-122.193,135.0,0.5625,0.0010714285714285715,0.0019047619047619048
1407,425000.0,2110,2,1.0,1.5,3,0.0,1911,98103,pre-20s,"(98075.0, 98103.0]",0-1,2,1.5,3,0.0,47.6872,-122.339,201.4218009478673,0.5,0.00047393364928909954,0.0009478672985781991
1408,685000.0,2210,3,1.75,1.0,3,1.0,1974,98033,70s,"(98029.0, 98033.0]",1-2,3,1.0,3,1.0,47.6621,-122.189,309.9547511312217,0.5833333333333334,0.0007918552036199095,0.0013574660633484162
1409,750000.0,2360,3,2.5,2.0,3,0.0,1983,98006,80s,"(98004.0, 98010.0]",2-3,3,2.0,3,0.0,47.5471,-122.149,317.79661016949154,0.8333333333333334,0.001059322033898305,0.001271186440677966
1410,245000.0,1280,4,1.5,1.0,3,0.0,1960,98178,50s,"(98177.0, 98199.0]",1-2,4,1.0,3,0.0,47.4949,-122.255,191.40625,0.375,0.001171875,0.003125
1412,706000.0,2740,4,2.5,2.0,3,0.0,2009,98033,00s,"(98029.0, 98033.0]",2-3,4,2.0,3,0.0,47.6962,-122.179,257.66423357664235,0.625,0.0009124087591240876,0.00145985401459854
1413,445000.0,2630,4,2.0,1.5,3,0.0,1944,98146,40s,"(98133.0, 98155.0]",1-2,4,1.5,3,0.0,47.5067,-122.361,169.20152091254752,0.5,0.0007604562737642585,0.001520912547528517
1414,241000.0,1650,3,2.0,1.0,3,0.0,1990,98023,80s,"(98010.0, 98023.0]",1-2,3,1.0,3,0.0,47.2904,-122.353,146.06060606060606,0.6666666666666666,0.0012121212121212121,0.0018181818181818182
1415,1180000.0,1770,2,2.5,2.0,3,4.0,1957,98155,50s,"(98133.0, 98155.0]",2-3,2,2.0,3,4.0,47.7345,-122.285,666.6666666666666,1.25,0.0014124293785310734,0.0011299435028248588
1416,530000.0,1500,3,1.0,1.5,4,0.0,1927,98126,20s,"(98125.0, 98133.0]",0-1,3,1.5,4,0.0,47.5677,-122.376,353.3333333333333,0.3333333333333333,0.0006666666666666666,0.002
1417,350000.0,1430,3,1.5,1.0,3,0.0,1948,98133,40s,"(98125.0, 98133.0]",1-2,3,1.0,3,0.0,47.7352,-122.33,244.75524475524475,0.5,0.001048951048951049,0.002097902097902098
1418,1700000.0,3190,4,3.75,2.0,3,4.0,1999,98178,90s,"(98177.0, 98199.0]",3-4,4,2.0,3,4.0,47.5115,-122.24600000000001,532.9153605015674,0.9375,0.0011755485893416929,0.0012539184952978057
1419,389000.0,1280,3,1.0,1.0,3,0.0,1968,98072,60s,"(98070.0, 98075.0]",0-1,3,1.0,3,0.0,47.7677,-122.163,303.90625,0.3333333333333333,0.00078125,0.00234375
1420,799000.0,2390,4,2.75,2.0,4,0.0,1945,98115,40s,"(98107.0, 98115.0]",2-3,4,2.0,4,0.0,47.6788,-122.27,334.30962343096235,0.6875,0.0011506276150627616,0.0016736401673640166
1421,1400000.0,4040,4,2.5,1.0,4,3.0,1951,98199,50s,"(98177.0, 98199.0]",2-3,4,1.0,4,3.0,47.6408,-122.41,346.53465346534654,0.625,0.0006188118811881188,0.0009900990099009901
1422,340895.0,920,2,1.0,1.0,5,0.0,1947,98155,40s,"(98133.0, 98155.0]",0-1,2,1.0,5,0.0,47.733999999999995,-122.301,370.5380434782609,0.5,0.0010869565217391304,0.002173913043478261
1423,780000.0,2730,4,2.5,2.0,3,2.0,1996,98074,90s,"(98070.0, 98075.0]",2-3,4,2.0,3,2.0,47.6227,-122.029,285.7142857142857,0.625,0.0009157509157509158,0.0014652014652014652
1424,350000.0,1320,2,1.5,1.0,3,0.0,1993,98001,90s,"(98000.999, 98004.0]",1-2,2,1.0,3,0.0,47.2755,-122.271,265.1515151515151,0.75,0.0011363636363636363,0.0015151515151515152
1425,470000.0,2620,3,2.5,2.0,3,0.0,1999,98065,90s,"(98058.0, 98070.0]",2-3,3,2.0,3,0.0,47.5328,-121.87899999999999,179.38931297709922,0.8333333333333334,0.0009541984732824427,0.0011450381679389313
1426,914600.0,3180,4,3.0,2.0,3,0.0,1985,98072,80s,"(98070.0, 98075.0]",2-3,4,2.0,3,0.0,47.7336,-122.134,287.61006289308176,0.75,0.0009433962264150943,0.0012578616352201257
1427,354000.0,2900,4,2.5,2.0,3,0.0,2005,98042,00s,"(98038.0, 98042.0]",2-3,4,2.0,3,0.0,47.3663,-122.12899999999999,122.06896551724138,0.625,0.0008620689655172414,0.001379310344827586
1429,715000.0,1760,3,2.0,1.0,5,0.0,1927,98103,20s,"(98075.0, 98103.0]",1-2,3,1.0,5,0.0,47.6558,-122.331,406.25,0.6666666666666666,0.0011363636363636363,0.0017045454545454545
1430,265000.0,760,2,1.0,1.0,4,0.0,1950,98108,40s,"(98107.0, 98115.0]",0-1,2,1.0,4,0.0,47.5466,-122.304,348.6842105263158,0.5,0.0013157894736842105,0.002631578947368421
1431,2540000.0,3710,4,3.0,2.0,5,2.0,1936,98105,30s,"(98103.0, 98107.0]",2-3,4,2.0,5,2.0,47.6696,-122.26100000000001,684.6361185983827,0.75,0.0008086253369272237,0.001078167115902965
1432,640000.0,1530,3,1.0,1.0,3,0.0,1950,98103,40s,"(98075.0, 98103.0]",0-1,3,1.0,3,0.0,47.6857,-122.34100000000001,418.30065359477123,0.3333333333333333,0.00065359477124183,0.00196078431372549
1433,290000.0,1990,4,1.75,2.0,4,0.0,1929,98168,20s,"(98155.0, 98177.0]",1-2,4,2.0,4,0.0,47.5131,-122.31299999999999,145.7286432160804,0.4375,0.0008793969849246232,0.0020100502512562816
1435,535000.0,2040,3,2.0,1.0,5,1.0,1954,98144,50s,"(98133.0, 98155.0]",1-2,3,1.0,5,1.0,47.5959,-122.29299999999999,262.2549019607843,0.6666666666666666,0.000980392156862745,0.0014705882352941176
1436,907000.0,2170,3,1.75,1.0,5,0.0,1965,98033,60s,"(98029.0, 98033.0]",1-2,3,1.0,5,0.0,47.6537,-122.195,417.97235023041475,0.5833333333333334,0.0008064516129032258,0.0013824884792626728
1437,459000.0,1620,3,1.75,1.0,4,0.0,1974,98034,70s,"(98033.0, 98038.0]",1-2,3,1.0,4,0.0,47.7148,-122.213,283.3333333333333,0.5833333333333334,0.0010802469135802468,0.001851851851851852
1438,1360000.0,3600,3,2.5,1.0,3,3.0,1950,98008,40s,"(98004.0, 98010.0]",2-3,3,1.0,3,3.0,47.6191,-122.09899999999999,377.77777777777777,0.8333333333333334,0.0006944444444444445,0.0008333333333333334
1439,264950.0,1470,3,1.5,1.0,3,0.0,1967,98030,60s,"(98029.0, 98033.0]",1-2,3,1.0,3,0.0,47.3632,-122.18799999999999,180.23809523809524,0.5,0.0010204081632653062,0.0020408163265306124
1440,352950.0,1760,3,1.0,1.5,1,0.0,1900,98103,pre-20s,"(98075.0, 98103.0]",0-1,3,1.5,1,0.0,47.6598,-122.348,200.53977272727272,0.3333333333333333,0.0005681818181818182,0.0017045454545454545
1441,491500.0,2230,3,2.25,1.0,4,0.0,1974,98006,70s,"(98004.0, 98010.0]",2-3,3,1.0,4,0.0,47.5413,-122.17399999999999,220.40358744394618,0.75,0.001008968609865471,0.0013452914798206279
1442,1230000.0,3770,4,3.5,2.0,3,0.0,1989,98007,80s,"(98004.0, 98010.0]",3-4,4,2.0,3,0.0,47.6463,-122.15100000000001,326.2599469496021,0.875,0.0009283819628647215,0.0010610079575596816
1443,369500.0,1200,3,1.0,1.0,4,0.0,1952,98155,50s,"(98133.0, 98155.0]",0-1,3,1.0,4,0.0,47.7362,-122.319,307.9166666666667,0.3333333333333333,0.0008333333333333334,0.0025
1444,566000.0,2090,3,2.5,2.0,3,0.0,2004,98052,00s,"(98042.0, 98053.0]",2-3,3,2.0,3,0.0,47.68600000000001,-122.095,270.8133971291866,0.8333333333333334,0.0011961722488038277,0.0014354066985645933
1445,290000.0,1500,3,2.25,1.0,4,0.0,1968,98055,60s,"(98053.0, 98058.0]",2-3,3,1.0,4,0.0,47.4621,-122.18700000000001,193.33333333333334,0.75,0.0015,0.002
1447,180000.0,870,3,1.0,1.0,3,0.0,1969,98042,60s,"(98038.0, 98042.0]",0-1,3,1.0,3,0.0,47.369,-122.07700000000001,206.89655172413794,0.3333333333333333,0.0011494252873563218,0.0034482758620689655
